# offlineChannelIndex,barIndex,SiPM,sectorName,moduleNumber,side,ROC,ROCport,FEBchannel
521,130,1,CRV_EX,2,+,1,11,4
522,130,2,CRV_EX,2,-,1,9,5
523,130,3,CRV_EX,2,+,1,11,5
524,131,0,CRV_EX,2,-,1,9,6
525,131,1,CRV_EX,2,+,1,11,6
526,131,2,CRV_EX,2,-,1,9,7
527,131,3,CRV_EX,2,+,1,11,7
528,132,0,CRV_EX,2,-,1,9,8
529,132,1,CRV_EX,2,+,1,11,8
530,132,2,CRV_EX,2,-,1,9,9
531,132,3,CRV_EX,2,+,1,11,9
532,133,0,CRV_EX,2,-,1,9,10
533,133,1,CRV_EX,2,+,1,11,10
534,133,2,CRV_EX,2,-,1,9,11
535,133,3,CRV_EX,2,+,1,11,11
536,134,0,CRV_EX,2,-,1,9,12
537,134,1,CRV_EX,2,+,1,11,12
538,134,2,CRV_EX,2,-,1,9,13
539,134,3,CRV_EX,2,+,1,11,13
540,135,0,CRV_EX,2,-,1,9,14
541,135,1,CRV_EX,2,+,1,11,14
542,135,2,CRV_EX,2,-,1,9,15
543,135,3,CRV_EX,2,+,1,11,15
544,136,0,CRV_EX,2,-,1,9,16
545,136,1,CRV_EX,2,+,1,11,16
546,136,2,CRV_EX,2,-,1,9,17
547,136,3,CRV_EX,2,+,1,11,17
548,137,0,CRV_EX,2,-,1,9,18
549,137,1,CRV_EX,2,+,1,11,18
550,137,2,CRV_EX,2,-,1,9,19
551,137,3,CRV_EX,2,+,1,11,19
552,138,0,CRV_EX,2,-,1,9,20
553,138,1,CRV_EX,2,+,1,11,20
554,138,2,CRV_EX,2,-,1,9,21
555,138,3,CRV_EX,2,+,1,11,21
556,139,0,CRV_EX,2,-,1,9,22
557,139,1,CRV_EX,2,+,1,11,22
558,139,2,CRV_EX,2,-,1,9,23
559,139,3,CRV_EX,2,+,1,11,23
560,140,0,CRV_EX,2,-,1,9,24
561,140,1,CRV_EX,2,+,1,11,24
562,140,2,CRV_EX,2,-,1,9,25
563,140,3,CRV_EX,2,+,1,11,25
564,141,0,CRV_EX,2,-,1,9,26
565,141,1,CRV_EX,2,+,1,11,26
566,141,2,CRV_EX,2,-,1,9,27
567,141,3,CRV_EX,2,+,1,11,27
568,142,0,CRV_EX,2,-,1,9,28
569,142,1,CRV_EX,2,+,1,11,28
570,142,2,CRV_EX,2,-,1,9,29
571,142,3,CRV_EX,2,+,1,11,29
572,143,0,CRV_EX,2,-,1,9,30
573,143,1,CRV_EX,2,+,1,11,30
574,143,2,CRV_EX,2,-,1,9,31
575,143,3,CRV_EX,2,+,1,11,31
576,144,0,CRV_EX,2,-,1,9,32
577,144,1,CRV_EX,2,+,1,11,32
578,144,2,CRV_EX,2,-,1,9,33
579,144,3,CRV_EX,2,+,1,11,33
580,145,0,CRV_EX,2,-,1,9,34
581,145,1,CRV_EX,2,+,1,11,34
582,145,2,CRV_EX,2,-,1,9,35
583,145,3,CRV_EX,2,+,1,11,35
584,146,0,CRV_EX,2,-,1,9,36
585,146,1,CRV_EX,2,+,1,11,36
586,146,2,CRV_EX,2,-,1,9,37
587,146,3,CRV_EX,2,+,1,11,37
588,147,0,CRV_EX,2,-,1,9,38
589,147,1,CRV_EX,2,+,1,11,38
590,147,2,CRV_EX,2,-,1,9,39
591,147,3,CRV_EX,2,+,1,11,39
592,148,0,CRV_EX,2,-,1,9,40
593,148,1,CRV_EX,2,+,1,11,40
594,148,2,CRV_EX,2,-,1,9,41
595,148,3,CRV_EX,2,+,1,11,41
596,149,0,CRV_EX,2,-,1,9,42
